,mc2,r2,n_features_selected,perc_reduction_features,feature,coeff,feature_importance
59,Litter,0.9935630391173818,9,35.71428571428571,total_views,354303.3196231124,354303.3196231124
60,Over the Counter,0.9021825084776625,9,35.71428571428571,total_views,0.0,0.0
61,Apparel & People Products,0.9892847222030634,6,57.14285714285714,total_views,115759.74826458914,115759.74826458914
62,Flea & Tick,0.96554167839405,6,57.14285714285714,total_views,-0.0,0.0
63,Fish,0.922632945977137,3,78.57142857142857,total_views,696.6364347794503,696.6364347794503
64,Small Pet,0.9836511592089335,7,50.0,total_views,0.0,0.0
65,Wild Bird,0.9716544910682431,7,50.0,total_views,27939.391844070007,27939.391844070007
66,Equine,0.977923938696317,12,14.28571428571429,total_views,18197.49008441461,18197.49008441461
67,Personalized,0.9914771759651507,4,71.42857142857143,total_views,0.0,0.0
68,Core Treats,0.9898299192231189,10,28.57142857142857,conversions_purchase,0.0,0.0
69,Core Food,0.993107682080435,11,21.42857142857143,conversions_purchase,-0.0,0.0
70,Prescription Food & Treats,0.9811462214401298,5,64.28571428571428,conversions_purchase,0.0,0.0
71,Premium,0.9934626794809029,10,28.57142857142857,conversions_purchase,-296019.0983422821,296019.0983422821
72,Health & Wellness,0.9931007021249699,9,35.71428571428571,conversions_purchase,985128.0924719826,985128.0924719826
73,Toys,0.9972272104274261,9,35.71428571428571,conversions_purchase,0.0,0.0
74,Grooming & Waste Management,0.9873181777203262,11,21.42857142857143,conversions_purchase,338412.8532636977,338412.8532636977
75,Technology,0.8737832166171411,4,71.42857142857143,conversions_purchase,376.7774851524567,376.7774851524567
76,Litter,0.9935630391173818,9,35.71428571428571,conversions_purchase,0.0,0.0
77,Over the Counter,0.9021825084776625,9,35.71428571428571,conversions_purchase,15430.460158742031,15430.460158742031
78,Apparel & People Products,0.9892847222030634,6,57.14285714285714,conversions_purchase,0.0,0.0
79,Flea & Tick,0.96554167839405,6,57.14285714285714,conversions_purchase,-0.0,0.0
80,Fish,0.922632945977137,3,78.57142857142857,conversions_purchase,0.0,0.0
81,Small Pet,0.9836511592089335,7,50.0,conversions_purchase,0.0,0.0
82,Wild Bird,0.9716544910682431,7,50.0,conversions_purchase,0.0,0.0
83,Equine,0.977923938696317,12,14.28571428571429,conversions_purchase,-0.0,0.0
84,Personalized,0.9914771759651507,4,71.42857142857143,conversions_purchase,12202.457454819956,12202.457454819956
85,Core Treats,0.9898299192231189,10,28.57142857142857,conv_purc_rate,-0.0,0.0
86,Core Food,0.993107682080435,11,21.42857142857143,conv_purc_rate,-3569575.134867757,3569575.134867757
87,Prescription Food & Treats,0.9811462214401298,5,64.28571428571428,conv_purc_rate,-0.0,0.0
88,Premium,0.9934626794809029,10,28.57142857142857,conv_purc_rate,-0.0,0.0
89,Health & Wellness,0.9931007021249699,9,35.71428571428571,conv_purc_rate,-582331.2372737399,582331.2372737399
90,Toys,0.9972272104274261,9,35.71428571428571,conv_purc_rate,0.0,0.0
91,Grooming & Waste Management,0.9873181777203262,11,21.42857142857143,conv_purc_rate,-6825.360242608158,6825.360242608158
92,Technology,0.8737832166171411,4,71.42857142857143,conv_purc_rate,0.0,0.0
93,Litter,0.9935630391173818,9,35.71428571428571,conv_purc_rate,-326812.2460828799,326812.2460828799
94,Over the Counter,0.9021825084776625,9,35.71428571428571,conv_purc_rate,96489.24321502155,96489.24321502155
95,Apparel & People Products,0.9892847222030634,6,57.14285714285714,conv_purc_rate,0.0,0.0
96,Flea & Tick,0.96554167839405,6,57.14285714285714,conv_purc_rate,-748964.3760817184,748964.3760817184
97,Fish,0.922632945977137,3,78.57142857142857,conv_purc_rate,-0.0,0.0
98,Small Pet,0.9836511592089335,7,50.0,conv_purc_rate,-25096.920211469376,25096.920211469376
99,Wild Bird,0.9716544910682431,7,50.0,conv_purc_rate,-17087.838988796488,17087.838988796488
100,Equine,0.977923938696317,12,14.28571428571429,conv_purc_rate,11712.572196032284,11712.572196032284
101,Personalized,0.9914771759651507,4,71.42857142857143,conv_purc_rate,0.0,0.0
102,Core Treats,0.9898299192231189,10,28.57142857142857,conv_purc_rate_to_all,5164757.137153788,5164757.137153788
103,Core Food,0.993107682080435,11,21.42857142857143,conv_purc_rate_to_all,0.0,0.0
104,Prescription Food & Treats,0.9811462214401298,5,64.28571428571428,conv_purc_rate_to_all,-0.0,0.0
105,Premium,0.9934626794809029,10,28.57142857142857,conv_purc_rate_to_all,2063.401921135006,2063.401921135006
106,Health & Wellness,0.9931007021249699,9,35.71428571428571,conv_purc_rate_to_all,0.0,0.0
107,Toys,0.9972272104274261,9,35.71428571428571,conv_purc_rate_to_all,1402728.3888560561,1402728.3888560561
108,Grooming & Waste Management,0.9873181777203262,11,21.42857142857143,conv_purc_rate_to_all,310526.55639759847,310526.55639759847
109,Technology,0.8737832166171411,4,71.42857142857143,conv_purc_rate_to_all,0.0,0.0
110,Litter,0.9935630391173818,9,35.71428571428571,conv_purc_rate_to_all,-0.0,0.0
111,Over the Counter,0.9021825084776625,9,35.71428571428571,conv_purc_rate_to_all,-14924.57466088013,14924.57466088013
112,Apparel & People Products,0.9892847222030634,6,57.14285714285714,conv_purc_rate_to_all,445792.83954320534,445792.83954320534
113,Flea & Tick,0.96554167839405,6,57.14285714285714,conv_purc_rate_to_all,0.0,0.0
114,Fish,0.922632945977137,3,78.57142857142857,conv_purc_rate_to_all,-0.0,0.0
115,Small Pet,0.9836511592089335,7,50.0,conv_purc_rate_to_all,-0.0,0.0
116,Wild Bird,0.9716544910682431,7,50.0,conv_purc_rate_to_all,0.0,0.0
117,Equine,0.977923938696317,12,14.28571428571429,conv_purc_rate_to_all,-0.0,0.0
118,Personalized,0.9914771759651507,4,71.42857142857143,conv_purc_rate_to_all,0.0,0.0
119,Core Treats,0.9898299192231189,10,28.57142857142857,total_views_perc,-0.0,0.0
120,Core Food,0.993107682080435,11,21.42857142857143,total_views_perc,7735707.016347563,7735707.016347563
121,Prescription Food & Treats,0.9811462214401298,5,64.28571428571428,total_views_perc,0.0,0.0
122,Premium,0.9934626794809029,10,28.57142857142857,total_views_perc,-0.0,0.0
123,Health & Wellness,0.9931007021249699,9,35.71428571428571,total_views_perc,416328.45892951294,416328.45892951294
124,Toys,0.9972272104274261,9,35.71428571428571,total_views_perc,-0.0,0.0
125,Grooming & Waste Management,0.9873181777203262,11,21.42857142857143,total_views_perc,-0.0,0.0
126,Technology,0.8737832166171411,4,71.42857142857143,total_views_perc,0.0,0.0
127,Litter,0.9935630391173818,9,35.71428571428571,total_views_perc,-0.0,0.0
128,Over the Counter,0.9021825084776625,9,35.71428571428571,total_views_perc,-0.0,0.0
129,Apparel & People Products,0.9892847222030634,6,57.14285714285714,total_views_perc,0.0,0.0
130,Flea & Tick,0.96554167839405,6,57.14285714285714,total_views_perc,0.0,0.0
131,Fish,0.922632945977137,3,78.57142857142857,total_views_perc,0.0,0.0
132,Small Pet,0.9836511592089335,7,50.0,total_views_perc,0.0,0.0
133,Wild Bird,0.9716544910682431,7,50.0,total_views_perc,-0.0,0.0
134,Equine,0.977923938696317,12,14.28571428571429,total_views_perc,-101697.85991567602,101697.85991567602
135,Personalized,0.9914771759651507,4,71.42857142857143,total_views_perc,0.0,0.0
136,Core Treats,0.9898299192231189,10,28.57142857142857,oos_rate,-261460.36845236438,261460.36845236438
137,Core Food,0.993107682080435,11,21.42857142857143,oos_rate,1314284.8188648627,1314284.8188648627
138,Prescription Food & Treats,0.9811462214401298,5,64.28571428571428,oos_rate,-0.0,0.0
139,Premium,0.9934626794809029,10,28.57142857142857,oos_rate,82513.5713079783,82513.5713079783
140,Health & Wellness,0.9931007021249699,9,35.71428571428571,oos_rate,4088.314271770684,4088.314271770684
141,Toys,0.9972272104274261,9,35.71428571428571,oos_rate,133748.86412069562,133748.86412069562
142,Grooming & Waste Management,0.9873181777203262,11,21.42857142857143,oos_rate,-5015.294359980147,5015.294359980147
143,Technology,0.8737832166171411,4,71.42857142857143,oos_rate,0.0,0.0
144,Litter,0.9935630391173818,9,35.71428571428571,oos_rate,-43193.082529829044,43193.082529829044
145,Over the Counter,0.9021825084776625,9,35.71428571428571,oos_rate,-15414.154002786825,15414.154002786825
146,Apparel & People Products,0.9892847222030634,6,57.14285714285714,oos_rate,-67203.81227382355,67203.81227382355
147,Flea & Tick,0.96554167839405,6,57.14285714285714,oos_rate,-61434.40930083473,61434.40930083473
148,Fish,0.922632945977137,3,78.57142857142857,oos_rate,0.0,0.0
149,Small Pet,0.9836511592089335,7,50.0,oos_rate,1526.3493092712793,1526.3493092712793
