,mc2,r2,n_features_selected,perc_reduction_features,feature,coeff,feature_importance
43,Wild Bird,0.8818545055591201,7,50.0,conversions_purchase_mc2,0.0,0.0
44,Perishable,0.8004946407366003,7,50.0,conversions_purchase_mc2,36751.24840204499,36751.24840204499
45,Equine,0.9775651941524515,8,42.85714285714286,conversions_purchase_mc2,0.0,0.0
46,Chicken & Farm,0.24042276955896758,1,92.85714285714286,conversions_purchase_mc2,0.0,0.0
47,Personalized,0.9534351679012671,4,71.42857142857143,conversions_purchase_mc2,0.0,0.0
48,Core Treats,0.9474519275439929,5,64.28571428571428,conv_purc_mc2_rate,-0.0,0.0
49,Core Food,0.9404157188825747,4,71.42857142857143,conv_purc_mc2_rate,0.0,0.0
50,Prescription Food & Treats,0.8608952640487085,5,64.28571428571428,conv_purc_mc2_rate,-0.0,0.0
51,Premium,0.990197135081476,11,21.42857142857143,conv_purc_mc2_rate,-0.0,0.0
52,Health & Wellness,0.982506502020755,7,50.0,conv_purc_mc2_rate,0.0,0.0
53,Toys,0.9846228539613054,5,64.28571428571428,conv_purc_mc2_rate,0.0,0.0
54,Containment & Gear,0.958323155055493,7,50.0,conv_purc_mc2_rate,-325098.3070180001,325098.3070180001
55,Beds & Furniture,0.9818795155979155,6,57.14285714285714,conv_purc_mc2_rate,-0.0,0.0
56,"Leashes, Collars & Bowls",0.9275895823292332,7,50.0,conv_purc_mc2_rate,122095.80911275886,122095.80911275886
57,Grooming & Waste Management,0.9365487887316618,7,50.0,conv_purc_mc2_rate,-0.0,0.0
58,Technology,0.941962838924514,10,28.57142857142857,conv_purc_mc2_rate,-108701.2973787419,108701.2973787419
59,Litter,0.9540921226254634,4,71.42857142857143,conv_purc_mc2_rate,0.0,0.0
60,Over the Counter,0.934570139349339,7,50.0,conv_purc_mc2_rate,-0.0,0.0
61,Apparel & People Products,0.9840368683869404,10,28.57142857142857,conv_purc_mc2_rate,6297.706193301333,6297.706193301333
62,Flea & Tick,0.9424654613516299,6,57.14285714285714,conv_purc_mc2_rate,0.0,0.0
63,Fish,0.8523385821199098,14,0.0,conv_purc_mc2_rate,34511.01324143206,34511.01324143206
64,Reptile & Amphibians,0.9481254873191983,7,50.0,conv_purc_mc2_rate,-0.0,0.0
65,Pet Bird,0.9477105297409166,8,42.85714285714286,conv_purc_mc2_rate,-107847.86199028676,107847.86199028676
66,Small Pet,0.9857534746963389,5,64.28571428571428,conv_purc_mc2_rate,0.0,0.0
67,Wild Bird,0.8818545055591201,7,50.0,conv_purc_mc2_rate,0.0,0.0
68,Perishable,0.8004946407366003,7,50.0,conv_purc_mc2_rate,-6643.135680248692,6643.135680248692
69,Equine,0.9775651941524515,8,42.85714285714286,conv_purc_mc2_rate,-83350.5169481431,83350.5169481431
70,Chicken & Farm,0.24042276955896758,1,92.85714285714286,conv_purc_mc2_rate,0.0,0.0
71,Personalized,0.9534351679012671,4,71.42857142857143,conv_purc_mc2_rate,-0.0,0.0
72,Core Treats,0.9474519275439929,5,64.28571428571428,total_views,5099920.59951432,5099920.59951432
73,Core Food,0.9404157188825747,4,71.42857142857143,total_views,1319196.163247078,1319196.163247078
74,Prescription Food & Treats,0.8608952640487085,5,64.28571428571428,total_views,224672.60435996082,224672.60435996082
75,Premium,0.990197135081476,11,21.42857142857143,total_views,2967984.4746187874,2967984.4746187874
76,Health & Wellness,0.982506502020755,7,50.0,total_views,-0.0,0.0
77,Toys,0.9846228539613054,5,64.28571428571428,total_views,646482.7285988686,646482.7285988686
78,Containment & Gear,0.958323155055493,7,50.0,total_views,0.0,0.0
79,Beds & Furniture,0.9818795155979155,6,57.14285714285714,total_views,0.0,0.0
80,"Leashes, Collars & Bowls",0.9275895823292332,7,50.0,total_views,241625.1144144819,241625.1144144819
81,Grooming & Waste Management,0.9365487887316618,7,50.0,total_views,0.0,0.0
82,Technology,0.941962838924514,10,28.57142857142857,total_views,372230.3144331658,372230.3144331658
83,Litter,0.9540921226254634,4,71.42857142857143,total_views,1438722.4310367776,1438722.4310367776
84,Over the Counter,0.934570139349339,7,50.0,total_views,0.0,0.0
85,Apparel & People Products,0.9840368683869404,10,28.57142857142857,total_views,40250.572935282005,40250.572935282005
86,Flea & Tick,0.9424654613516299,6,57.14285714285714,total_views,-0.0,0.0
87,Fish,0.8523385821199098,14,0.0,total_views,30676.462755744007,30676.462755744007
88,Reptile & Amphibians,0.9481254873191983,7,50.0,total_views,0.0,0.0
89,Pet Bird,0.9477105297409166,8,42.85714285714286,total_views,0.0,0.0
90,Small Pet,0.9857534746963389,5,64.28571428571428,total_views,0.0,0.0
91,Wild Bird,0.8818545055591201,7,50.0,total_views,183683.87500831383,183683.87500831383
92,Perishable,0.8004946407366003,7,50.0,total_views,0.0,0.0
93,Equine,0.9775651941524515,8,42.85714285714286,total_views,-0.0,0.0
94,Chicken & Farm,0.24042276955896758,1,92.85714285714286,total_views,-0.0,0.0
95,Personalized,0.9534351679012671,4,71.42857142857143,total_views,19887.86746555806,19887.86746555806
96,Core Treats,0.9474519275439929,5,64.28571428571428,conversions_purchase,526115.6914939623,526115.6914939623
97,Core Food,0.9404157188825747,4,71.42857142857143,conversions_purchase,0.0,0.0
98,Prescription Food & Treats,0.8608952640487085,5,64.28571428571428,conversions_purchase,533869.5623624598,533869.5623624598
99,Premium,0.990197135081476,11,21.42857142857143,conversions_purchase,0.0,0.0
100,Health & Wellness,0.982506502020755,7,50.0,conversions_purchase,-0.0,0.0
101,Toys,0.9846228539613054,5,64.28571428571428,conversions_purchase,0.0,0.0
102,Containment & Gear,0.958323155055493,7,50.0,conversions_purchase,119441.49497083711,119441.49497083711
103,Beds & Furniture,0.9818795155979155,6,57.14285714285714,conversions_purchase,0.0,0.0
104,"Leashes, Collars & Bowls",0.9275895823292332,7,50.0,conversions_purchase,0.0,0.0
105,Grooming & Waste Management,0.9365487887316618,7,50.0,conversions_purchase,0.0,0.0
106,Technology,0.941962838924514,10,28.57142857142857,conversions_purchase,0.0,0.0
107,Litter,0.9540921226254634,4,71.42857142857143,conversions_purchase,0.0,0.0
108,Over the Counter,0.934570139349339,7,50.0,conversions_purchase,0.0,0.0
109,Apparel & People Products,0.9840368683869404,10,28.57142857142857,conversions_purchase,0.0,0.0
110,Flea & Tick,0.9424654613516299,6,57.14285714285714,conversions_purchase,0.0,0.0
111,Fish,0.8523385821199098,14,0.0,conversions_purchase,32900.78190719685,32900.78190719685
112,Reptile & Amphibians,0.9481254873191983,7,50.0,conversions_purchase,-0.0,0.0
113,Pet Bird,0.9477105297409166,8,42.85714285714286,conversions_purchase,0.0,0.0
114,Small Pet,0.9857534746963389,5,64.28571428571428,conversions_purchase,0.0,0.0
115,Wild Bird,0.8818545055591201,7,50.0,conversions_purchase,0.0,0.0
116,Perishable,0.8004946407366003,7,50.0,conversions_purchase,0.0,0.0
117,Equine,0.9775651941524515,8,42.85714285714286,conversions_purchase,-0.0,0.0
118,Chicken & Farm,0.24042276955896758,1,92.85714285714286,conversions_purchase,-0.0,0.0
119,Personalized,0.9534351679012671,4,71.42857142857143,conversions_purchase,160943.1543544333,160943.1543544333
120,Core Treats,0.9474519275439929,5,64.28571428571428,conv_purc_rate,0.0,0.0
121,Core Food,0.9404157188825747,4,71.42857142857143,conv_purc_rate,-0.0,0.0
122,Prescription Food & Treats,0.8608952640487085,5,64.28571428571428,conv_purc_rate,0.0,0.0
123,Premium,0.990197135081476,11,21.42857142857143,conv_purc_rate,-1032660.6329479915,1032660.6329479915
124,Health & Wellness,0.982506502020755,7,50.0,conv_purc_rate,-638364.4604605465,638364.4604605465
125,Toys,0.9846228539613054,5,64.28571428571428,conv_purc_rate,-0.0,0.0
126,Containment & Gear,0.958323155055493,7,50.0,conv_purc_rate,23638.99544395183,23638.99544395183
127,Beds & Furniture,0.9818795155979155,6,57.14285714285714,conv_purc_rate,-311200.9153581839,311200.9153581839
128,"Leashes, Collars & Bowls",0.9275895823292332,7,50.0,conv_purc_rate,-266546.56558296114,266546.56558296114
129,Grooming & Waste Management,0.9365487887316618,7,50.0,conv_purc_rate,-28171.13350255908,28171.13350255908
130,Technology,0.941962838924514,10,28.57142857142857,conv_purc_rate,-71822.62635611498,71822.62635611498
131,Litter,0.9540921226254634,4,71.42857142857143,conv_purc_rate,-0.0,0.0
132,Over the Counter,0.934570139349339,7,50.0,conv_purc_rate,-72703.00943529374,72703.00943529374
133,Apparel & People Products,0.9840368683869404,10,28.57142857142857,conv_purc_rate,-63687.963745966474,63687.963745966474
134,Flea & Tick,0.9424654613516299,6,57.14285714285714,conv_purc_rate,0.0,0.0
135,Fish,0.8523385821199098,14,0.0,conv_purc_rate,-7395.720006113262,7395.720006113262
136,Reptile & Amphibians,0.9481254873191983,7,50.0,conv_purc_rate,-165.40712508372312,165.40712508372312
137,Pet Bird,0.9477105297409166,8,42.85714285714286,conv_purc_rate,45144.02696395971,45144.02696395971
138,Small Pet,0.9857534746963389,5,64.28571428571428,conv_purc_rate,-0.0,0.0
139,Wild Bird,0.8818545055591201,7,50.0,conv_purc_rate,0.0,0.0
140,Perishable,0.8004946407366003,7,50.0,conv_purc_rate,11391.121615963906,11391.121615963906
141,Equine,0.9775651941524515,8,42.85714285714286,conv_purc_rate,-30474.117509183536,30474.117509183536
142,Chicken & Farm,0.24042276955896758,1,92.85714285714286,conv_purc_rate,0.0,0.0
143,Personalized,0.9534351679012671,4,71.42857142857143,conv_purc_rate,0.0,0.0
144,Core Treats,0.9474519275439929,5,64.28571428571428,conv_purc_rate_to_all,-0.0,0.0
145,Core Food,0.9404157188825747,4,71.42857142857143,conv_purc_rate_to_all,0.0,0.0
146,Prescription Food & Treats,0.8608952640487085,5,64.28571428571428,conv_purc_rate_to_all,-0.0,0.0
147,Premium,0.990197135081476,11,21.42857142857143,conv_purc_rate_to_all,1594652.7798192163,1594652.7798192163
148,Health & Wellness,0.982506502020755,7,50.0,conv_purc_rate_to_all,0.0,0.0
149,Toys,0.9846228539613054,5,64.28571428571428,conv_purc_rate_to_all,0.0,0.0
150,Containment & Gear,0.958323155055493,7,50.0,conv_purc_rate_to_all,-0.0,0.0
151,Beds & Furniture,0.9818795155979155,6,57.14285714285714,conv_purc_rate_to_all,0.0,0.0
152,"Leashes, Collars & Bowls",0.9275895823292332,7,50.0,conv_purc_rate_to_all,0.0,0.0
153,Grooming & Waste Management,0.9365487887316618,7,50.0,conv_purc_rate_to_all,-58212.5630591529,58212.5630591529
154,Technology,0.941962838924514,10,28.57142857142857,conv_purc_rate_to_all,-0.0,0.0
155,Litter,0.9540921226254634,4,71.42857142857143,conv_purc_rate_to_all,0.0,0.0
156,Over the Counter,0.934570139349339,7,50.0,conv_purc_rate_to_all,111460.12733476401,111460.12733476401
157,Apparel & People Products,0.9840368683869404,10,28.57142857142857,conv_purc_rate_to_all,-0.0,0.0
158,Flea & Tick,0.9424654613516299,6,57.14285714285714,conv_purc_rate_to_all,595877.1172469539,595877.1172469539
159,Fish,0.8523385821199098,14,0.0,conv_purc_rate_to_all,-38772.258550477214,38772.258550477214
160,Reptile & Amphibians,0.9481254873191983,7,50.0,conv_purc_rate_to_all,0.0,0.0
161,Pet Bird,0.9477105297409166,8,42.85714285714286,conv_purc_rate_to_all,7304.126342374948,7304.126342374948
162,Small Pet,0.9857534746963389,5,64.28571428571428,conv_purc_rate_to_all,0.0,0.0
163,Wild Bird,0.8818545055591201,7,50.0,conv_purc_rate_to_all,30807.71945490583,30807.71945490583
164,Perishable,0.8004946407366003,7,50.0,conv_purc_rate_to_all,18565.863989896,18565.863989896
165,Equine,0.9775651941524515,8,42.85714285714286,conv_purc_rate_to_all,0.0,0.0
166,Chicken & Farm,0.24042276955896758,1,92.85714285714286,conv_purc_rate_to_all,0.0,0.0
167,Personalized,0.9534351679012671,4,71.42857142857143,conv_purc_rate_to_all,0.0,0.0
168,Core Treats,0.9474519275439929,5,64.28571428571428,total_views_perc,-0.0,0.0
169,Core Food,0.9404157188825747,4,71.42857142857143,total_views_perc,0.0,0.0
170,Prescription Food & Treats,0.8608952640487085,5,64.28571428571428,total_views_perc,-0.0,0.0
171,Premium,0.990197135081476,11,21.42857142857143,total_views_perc,171848.04939740166,171848.04939740166
172,Health & Wellness,0.982506502020755,7,50.0,total_views_perc,-0.0,0.0
173,Toys,0.9846228539613054,5,64.28571428571428,total_views_perc,0.0,0.0
174,Containment & Gear,0.958323155055493,7,50.0,total_views_perc,0.0,0.0
175,Beds & Furniture,0.9818795155979155,6,57.14285714285714,total_views_perc,0.0,0.0
176,"Leashes, Collars & Bowls",0.9275895823292332,7,50.0,total_views_perc,0.0,0.0
177,Grooming & Waste Management,0.9365487887316618,7,50.0,total_views_perc,-361747.1415556466,361747.1415556466
